Feature,p-value,ANOVA Rank,Mutual Information,MI Rank,Importance,RF Rank,Average Rank
AST,4.262401335623208e-73,1.0,0.22698679894157925,1.0,0.15006534944328362,1.0,1.0
ALB,2.4797551113116273e-34,4.0,0.16594160241636913,2.0,0.12783648182259774,2.0,2.6666666666666665
BIL,7.904114017851153e-48,2.0,0.12075870212921291,5.0,0.09594093140089908,6.0,4.333333333333333
CHE,3.0909156141666793e-30,5.0,0.11720258454812238,6.0,0.11504278379862198,3.0,4.666666666666667
ALP,1.5684998860270663e-16,8.0,0.155657987431292,3.0,0.09825502610556083,5.0,5.333333333333333
GGT,5.4851326556297236e-40,3.0,0.10864504287713816,7.0,0.07259274592541179,7.0,5.666666666666667
PROT,1.0713734194047859e-22,6.0,0.0734613603158063,9.0,0.10331768528681619,4.0,6.333333333333333
ALT,4.224347355756174e-21,7.0,0.12510689760319238,4.0,0.07187819249368392,8.0,6.333333333333333
CREA,6.790382251213456e-09,10.0,0.09539309234886018,8.0,0.051315171205581385,10.0,9.333333333333334
CHOL,2.32262820349618e-13,9.0,0.06231651468933386,10.0,0.04800022902398388,11.0,10.0
Age,1.1903892225535768e-08,11.0,0.045326614071185656,11.0,0.06575540349355964,9.0,10.333333333333334
